1457,713,1,26-Jul-2016
4000,876,1,26-Jun-2016
4137,205,1,3-Oct-2016
631,482,1,21-Oct-2016
465,216,1,6-May-2016
2557,375,1,8-May-2016
2390,824,1,9-Nov-2016
963,342,1,1-Jul-2016
1190,8,1,9-Jan-2016
3220,793,1,3-Jul-2016
4128,755,1,17-Mar-2016
1536,479,1,15-Sep-2016
3404,762,1,14-Aug-2016
435,190,1,11-Dec-2016
4637,41,1,4-Oct-2016
547,111,1,27-Jun-2016
4774,478,1,22-Feb-2016
4966,264,1,25-Feb-2016
1151,963,1,18-Mar-2016
2809,1000,1,25-Dec-2016
645,130,1,24-Apr-2016
1874,530,1,8-Aug-2016
4886,926,1,12-Aug-2016
2575,65,1,5-Jan-2016
1119,273,1,11-Jan-2016
228,425,1,12-Jul-2016
1776,311,1,14-Feb-2016
1722,230,1,5-Mar-2016
136,345,1,13-Jan-2016
2392,65,1,22-Oct-2016
3683,560,1,5-May-2016
1631,294,1,15-Apr-2016
4449,282,1,28-Nov-2016
1933,624,1,23-Aug-2016
4480,198,1,12-Apr-2016
1611,590,1,6-Feb-2016
2026,512,1,28-May-2016
4574,551,1,24-Nov-2016
4278,925,1,24-Feb-2016
4209,9,1,9-May-2016
1765,666,1,18-Aug-2016
3910,32,1,25-Mar-2016
912,881,1,3-Aug-2016
417,844,1,24-Dec-2016
3680,676,1,8-Jul-2016
3267,827,1,25-Dec-2016
1868,809,1,7-Dec-2016
96,218,1,27-Feb-2016
1903,685,1,1-May-2016
2644,459,1,15-Jul-2016
3771,218,1,17-Dec-2016
224,755,1,24-Feb-2016
73,514,1,1-May-2016
2649,417,1,16-Jan-2016
845,746,1,15-Jul-2016
3777,608,1,4-May-2016
2055,818,1,26-Apr-2016
2020,906,1,19-Feb-2016
3304,323,1,12-Sep-2016
4343,323,1,24-Dec-2016
3635,912,1,2-May-2016
2671,455,1,3-Nov-2016
3857,550,1,14-May-2016
3774,777,1,23-Mar-2016
2645,306,1,1-Dec-2016
1691,747,1,13-Aug-2016
3070,588,1,27-Sep-2016
4476,664,1,22-Jan-2016
3261,524,1,5-Dec-2016
119,308,1,1-May-2016
3532,506,1,15-Sep-2016
3339,888,1,15-Aug-2016
806,258,1,10-Mar-2016
343,51,1,13-Jun-2016
794,785,1,4-Jan-2016
2782,917,1,7-Aug-2016
3689,412,1,2-Nov-2016
3097,132,1,19-May-2016
927,275,1,12-Aug-2016
3843,698,1,18-Oct-2016
4939,626,1,12-Dec-2016
695,715,1,6-Oct-2016
1811,733,1,4-Feb-2016
3042,462,1,1-Mar-2016
4594,930,1,10-Sep-2016
2772,794,1,13-Apr-2016
4853,626,1,14-Nov-2016
4854,1,1,22-May-2016
1994,343,1,18-Jun-2016
2980,512,1,7-Dec-2016
2814,853,1,15-Mar-2016
3714,975,1,27-Jan-2016
72,333,1,19-Aug-2016
