1,17,10,466
2,17,45,718
3,17,34,72
4,17,22,495
5,17,19,665
6,17,38,115
7,17,9,316
8,17,36,86
9,17,18,223
10,17,26,413
11,17,20,468
12,17,8,298
13,17,39,160
14,17,37,138
15,17,7,425
16,17,41,232
17,17,4,601
18,17,27,568
19,17,15,93
20,17,42,256
21,17,40,241
22,17,11,601
23,17,31,731
24,17,13,673
25,17,6,627
26,17,29,758
27,17,35,127
28,17,44,570
29,17,43,519
30,17,21,749
31,17,32,734
32,17,2,438
33,17,24,520
34,17,30,587
35,17,3,137
36,17,25,464
37,17,23,620
38,17,1,320
39,17,5,597
40,17,12,547
41,17,14,258
42,17,33,438
43,17,16,297
44,17,28,399
45,10,45,739
46,10,34,661
47,10,22,642
48,10,19,165
49,10,38,258
50,10,9,88
51,10,36,150
52,10,18,637
53,10,26,208
54,10,20,739
55,10,8,257
56,10,39,181
57,10,37,749
58,10,7,530
59,10,41,306
60,10,4,683
61,10,27,512
62,10,15,118
63,10,42,741
64,10,40,139
65,10,11,341
66,10,31,602
67,10,13,541
68,10,6,154
69,10,29,774
70,10,35,497
71,10,44,689
72,10,43,365
73,10,21,111
74,10,32,64
75,10,2,613
76,10,24,282
77,10,30,620
78,10,3,723
79,10,25,664
80,10,23,80
81,10,1,719
82,10,5,111
83,10,12,75
84,10,14,208
85,10,33,522
86,10,16,602
87,10,28,342
88,45,34,428
89,45,22,387
90,45,19,471
91,45,38,736
92,45,9,580
93,45,36,615
94,45,18,60
95,45,26,793
96,45,20,415
97,45,8,261
98,45,39,71
99,45,37,146
100,45,7,604
101,45,41,614
102,45,4,702
103,45,27,180
104,45,15,792
105,45,42,740
106,45,40,598
107,45,11,771
108,45,31,407
109,45,13,326
110,45,6,101
111,45,29,394
112,45,35,531
113,45,44,729
114,45,43,473
115,45,21,379
116,45,32,580
117,45,2,324
118,45,24,677
119,45,30,505
120,45,3,64
121,45,25,458
122,45,23,770
123,45,1,540
124,45,5,799
125,45,12,519
126,45,14,646
127,45,33,572
128,45,16,392
129,45,28,326
130,34,22,141
131,34,19,225
132,34,38,68
133,34,9,533
134,34,36,491
135,34,18,229
136,34,26,366
137,34,20,165
138,34,8,185
139,34,39,734
140,34,37,172
141,34,7,162
142,34,41,220
143,34,4,532
144,34,27,96
145,34,15,651
146,34,42,411
147,34,40,699
148,34,11,289
149,34,31,118
150,34,13,625
151,34,6,796
152,34,29,66
153,34,35,384
154,34,44,150
155,34,43,790
156,34,21,391
157,34,32,449
158,34,2,110
159,34,24,499
160,34,30,537
161,34,3,672
162,34,25,229
163,34,23,146
164,34,1,440
165,34,5,536
166,34,12,74
167,34,14,97
168,34,33,327
169,34,16,203
170,34,28,642
171,22,19,159
172,22,38,356
173,22,9,417
174,22,36,267
175,22,18,436
176,22,26,691
177,22,20,63
178,22,8,144
179,22,39,593
180,22,37,262
181,22,7,168
182,22,41,126
183,22,4,193
184,22,27,306
185,22,15,104
186,22,42,313
187,22,40,611
188,22,11,728
189,22,31,279
190,22,13,556
191,22,6,717
192,22,29,450
193,22,35,393
194,22,44,666
195,22,43,263
196,22,21,580
197,22,32,350
198,22,2,453
199,22,24,405
200,22,30,181
201,22,3,126
202,22,25,527
203,22,23,271
204,22,1,783
205,22,5,100
206,22,12,693
207,22,14,551
208,22,33,420
209,22,16,480
210,22,28,461
211,19,38,697
212,19,9,174
213,19,36,296
214,19,18,497
215,19,26,417
216,19,20,241
217,19,8,621
218,19,39,260
219,19,37,650
220,19,7,355
221,19,41,781
222,19,4,486
223,19,27,118
224,19,15,494
225,19,42,77
226,19,40,268
227,19,11,478
228,19,31,706
229,19,13,155
